stringID type x y demand readytime duedate servicetime rechargingrate 
D0 d 55.99 69.99 0.00 0.00 1730.22 0.00 0.00
S0 f 55.99 69.99 0.00 0.00 1730.22 0.00 4.75
S1 f 102.19 72.79 0.00 0.00 1730.22 0.00 4.75
S2 f 125.99 76.99 0.00 0.00 1730.22 0.00 4.75
S3 f 76.99 110.59 0.00 0.00 1730.22 0.00 4.75
S4 f 96.59 124.59 0.00 0.00 1730.22 0.00 4.75
S5 f 44.80 111.99 0.00 0.00 1730.22 0.00 4.75
S6 f 54.59 134.39 0.00 0.00 1730.22 0.00 4.75
S7 f 32.20 111.99 0.00 0.00 1730.22 0.00 4.75
S8 f 5.60 116.19 0.00 0.00 1730.22 0.00 4.75
S9 f 25.20 81.19 0.00 0.00 1730.22 0.00 4.75
S10 f 1.40 78.39 0.00 0.00 1730.22 0.00 4.75
S11 f 18.20 43.40 0.00 0.00 1730.22 0.00 4.75
S12 f -7.00 53.19 0.00 0.00 1730.22 0.00 4.75
S13 f 36.40 51.79 0.00 0.00 1730.22 0.00 4.75
S14 f 39.20 18.20 0.00 0.00 1730.22 0.00 4.75
S15 f 54.59 43.40 0.00 0.00 1730.22 0.00 4.75
S16 f 67.19 15.40 0.00 0.00 1730.22 0.00 4.75
S17 f 82.59 23.80 0.00 0.00 1730.22 0.00 4.75
S18 f 102.19 32.20 0.00 0.00 1730.22 0.00 4.75
S19 f 103.59 44.80 0.00 0.00 1730.22 0.00 4.75
S20 f 125.99 61.59 0.00 0.00 1730.22 0.00 4.75
C1 c 62.99 95.19 10.00 26.59 530.55 125.99 0.00
C2 c 62.99 97.99 30.00 484.34 988.30 125.99 0.00
C3 c 58.79 92.39 10.00 1003.69 1507.64 125.99 0.00
C4 c 58.79 95.19 10.00 615.93 1119.88 125.99 0.00
C5 c 58.79 90.99 10.00 1077.88 1581.83 125.99 0.00
C6 c 55.99 96.59 20.00 744.71 1248.67 125.99 0.00
C7 c 55.99 92.39 20.00 874.90 1378.85 125.99 0.00
C8 c 53.19 95.19 20.00 1073.68 1577.63 125.99 0.00
C9 c 53.19 97.99 10.00 1070.88 1574.83 125.99 0.00
C10 c 48.99 92.39 10.00 884.70 1388.65 125.99 0.00
C11 c 48.99 96.59 10.00 1014.88 1518.84 125.99 0.00
C12 c 35.00 118.99 20.00 54.59 558.54 125.99 0.00
C13 c 30.80 104.99 30.00 1056.88 1560.83 125.99 0.00
C14 c 30.80 118.99 10.00 160.98 664.93 125.99 0.00
C15 c 28.00 111.99 40.00 821.71 1325.66 125.99 0.00
C16 c 28.00 118.99 40.00 289.76 793.72 125.99 0.00
C17 c 25.20 104.99 20.00 688.72 1192.67 125.99 0.00
C18 c 21.00 104.99 20.00 558.53 1062.49 125.99 0.00
C19 c 21.00 111.99 10.00 425.55 929.50 125.99 0.00
C20 c 42.00 69.99 10.00 13.99 517.95 125.99 0.00
C21 c 42.00 72.79 20.00 15.39 519.35 125.99 0.00
C22 c 39.20 72.79 20.00 18.19 522.15 125.99 0.00
C23 c 39.20 76.99 10.00 18.19 522.15 125.99 0.00
C24 c 35.00 69.99 10.00 20.99 524.95 125.99 0.00
C25 c 35.00 72.79 40.00 22.39 526.35 125.99 0.00
C26 c 35.00 76.99 10.00 739.11 1243.07 125.99 0.00
C27 c 32.20 72.79 10.00 149.78 653.73 125.99 0.00
C28 c 32.20 76.99 20.00 411.55 915.50 125.99 0.00
C29 c 28.00 69.99 10.00 27.99 531.95 125.99 0.00
C30 c 28.00 76.99 10.00 281.36 785.32 125.99 0.00
C31 c 14.00 48.99 20.00 436.75 940.70 125.99 0.00
C32 c 14.00 55.99 30.00 173.58 677.53 125.99 0.00
C33 c 11.20 55.99 40.00 302.36 806.32 125.99 0.00
C34 c 11.20 62.99 20.00 54.59 558.54 125.99 0.00
C35 c 7.00 48.99 10.00 713.92 1217.87 125.99 0.00
C36 c 7.00 62.99 10.00 184.77 688.73 125.99 0.00
C37 c 2.80 55.99 20.00 579.53 1083.49 125.99 0.00
C38 c 0.00 55.99 30.00 450.75 954.70 125.99 0.00
C39 c 0.00 62.99 20.00 317.76 821.72 125.99 0.00
C40 c 48.99 42.00 10.00 29.39 533.35 125.99 0.00
C41 c 48.99 44.80 10.00 26.59 530.55 125.99 0.00
C42 c 46.19 44.80 20.00 117.58 621.54 125.99 0.00
