stringID type x y demand readytime duedate servicetime rechargingrate 
D0 d 14.69 14.69 0.00 0.00 419.84 0.00 0.00
S0 f 14.69 14.69 0.00 0.00 419.84 0.00 0.05
S1 f 25.61 15.53 0.00 0.00 419.84 0.00 0.05
S2 f 31.07 16.37 0.00 0.00 419.84 0.00 0.05
S3 f 19.73 23.93 0.00 0.00 419.84 0.00 0.05
S4 f 23.93 27.29 0.00 0.00 419.84 0.00 0.05
S5 f 12.18 24.77 0.00 0.00 419.84 0.00 0.05
S6 f 14.27 29.81 0.00 0.00 419.84 0.00 0.05
S7 f 9.24 24.35 0.00 0.00 419.84 0.00 0.05
S8 f 2.94 25.61 0.00 0.00 419.84 0.00 0.05
S9 f 7.56 17.21 0.00 0.00 419.84 0.00 0.05
S10 f 2.10 16.37 0.00 0.00 419.84 0.00 0.05
S11 f 5.88 8.40 0.00 0.00 419.84 0.00 0.05
S12 f 0.00 10.92 0.00 0.00 419.84 0.00 0.05
S13 f 10.08 10.50 0.00 0.00 419.84 0.00 0.05
S14 f 10.92 2.52 0.00 0.00 419.84 0.00 0.05
S15 f 14.27 8.40 0.00 0.00 419.84 0.00 0.05
S16 f 17.21 2.10 0.00 0.00 419.84 0.00 0.05
S17 f 20.99 3.78 0.00 0.00 419.84 0.00 0.05
S18 f 25.61 5.88 0.00 0.00 419.84 0.00 0.05
S19 f 26.03 8.82 0.00 0.00 419.84 0.00 0.05
S20 f 31.07 12.59 0.00 0.00 419.84 0.00 0.05
C1 c 17.21 20.57 10.00 6.71 178.85 4.20 0.00
C2 c 14.69 7.14 7.00 7.55 225.46 4.20 0.00
C3 c 23.09 18.89 13.00 144.00 405.98 4.20 0.00
C4 c 23.09 8.40 19.00 238.46 405.14 4.20 0.00
C5 c 6.30 12.59 26.00 8.81 236.37 4.20 0.00
C6 c 10.50 12.59 3.00 154.49 376.18 4.20 0.00
C7 c 8.40 20.99 5.00 9.23 176.75 4.20 0.00
C8 c 4.20 18.05 9.00 11.33 212.02 4.20 0.00
C9 c 23.09 25.19 16.00 157.01 371.14 4.20 0.00
C10 c 12.59 25.19 16.00 174.23 361.48 4.20 0.00
C11 c 8.40 27.29 12.00 203.19 401.37 4.20 0.00
C12 c 20.99 14.69 19.00 238.46 409.34 4.20 0.00
C13 c 12.59 10.50 23.00 5.03 203.20 4.20 0.00
C14 c 6.30 4.20 20.00 13.85 219.16 4.20 0.00
C15 c 12.59 2.10 8.00 221.25 402.62 4.20 0.00
C16 c 4.20 8.40 19.00 145.26 355.18 4.20 0.00
C17 c 2.10 12.59 2.00 217.05 402.62 4.20 0.00
C18 c 8.40 16.79 12.00 96.98 287.59 4.20 0.00
C19 c 6.30 25.19 17.00 22.67 227.55 4.20 0.00
C20 c 18.89 27.29 9.00 216.21 391.71 4.20 0.00
C21 c 18.89 8.40 11.00 7.97 224.62 4.20 0.00
C22 c 18.89 4.20 18.00 205.71 404.30 4.20 0.00
C23 c 23.09 2.10 29.00 15.53 256.52 4.20 0.00
C24 c 27.29 14.69 3.00 212.43 403.04 4.20 0.00
C25 c 27.29 8.40 6.00 14.27 206.98 4.20 0.00
C26 c 18.89 12.59 17.00 5.03 201.94 4.20 0.00
C27 c 14.69 16.79 16.00 42.82 282.97 4.20 0.00
C28 c 17.21 15.53 16.00 73.89 283.81 4.20 0.00
C29 c 26.87 17.63 9.00 211.17 403.04 4.20 0.00
C30 c 16.79 25.19 21.00 146.52 335.45 4.20 0.00
C31 c 13.01 21.83 27.00 137.70 408.08 4.20 0.00
