stringID type x y demand readytime duedate servicetime rechargingrate 
D0 d 22.93 28.67 0.00 0.00 550.38 0.00 0.00
S0 f 22.93 28.67 0.00 0.00 550.38 0.00 0.09
S1 f 41.85 29.81 0.00 0.00 550.38 0.00 0.09
S2 f 51.60 31.53 0.00 0.00 550.38 0.00 0.09
S3 f 31.53 45.29 0.00 0.00 550.38 0.00 0.09
S4 f 39.56 51.02 0.00 0.00 550.38 0.00 0.09
S5 f 18.35 45.86 0.00 0.00 550.38 0.00 0.09
S6 f 22.36 55.04 0.00 0.00 550.38 0.00 0.09
S7 f 13.19 45.86 0.00 0.00 550.38 0.00 0.09
S8 f 2.29 47.58 0.00 0.00 550.38 0.00 0.09
S9 f 10.32 33.25 0.00 0.00 550.38 0.00 0.09
S10 f 0.57 32.11 0.00 0.00 550.38 0.00 0.09
S11 f 7.45 17.77 0.00 0.00 550.38 0.00 0.09
S12 f -2.87 21.79 0.00 0.00 550.38 0.00 0.09
S13 f 14.91 21.21 0.00 0.00 550.38 0.00 0.09
S14 f 16.05 7.45 0.00 0.00 550.38 0.00 0.09
S15 f 22.36 17.77 0.00 0.00 550.38 0.00 0.09
S16 f 27.52 6.31 0.00 0.00 550.38 0.00 0.09
S17 f 33.83 9.75 0.00 0.00 550.38 0.00 0.09
S18 f 41.85 13.19 0.00 0.00 550.38 0.00 0.09
S19 f 42.42 18.35 0.00 0.00 550.38 0.00 0.09
S20 f 51.60 25.23 0.00 0.00 550.38 0.00 0.09
C1 c 14.33 48.73 20.00 182.88 229.90 5.73 0.00
C2 c 12.61 43.00 30.00 17.77 208.69 5.73 0.00
C3 c 12.61 48.73 10.00 64.78 391.57 5.73 0.00
C4 c 11.47 45.86 40.00 427.68 457.50 5.73 0.00
C5 c 11.47 48.73 20.00 300.98 521.14 5.73 0.00
C6 c 10.32 43.00 20.00 81.40 283.22 5.73 0.00
C7 c 8.60 43.00 20.00 91.72 124.99 5.73 0.00
C8 c 8.60 45.86 10.00 218.42 354.88 5.73 0.00
C9 c 5.73 20.07 20.00 320.47 498.21 5.73 0.00
C10 c 5.73 22.93 30.00 219.00 315.32 5.73 0.00
C11 c 4.59 22.93 40.00 200.08 328.51 5.73 0.00
C12 c 4.59 25.80 20.00 482.14 525.73 5.73 0.00
C13 c 2.87 20.07 10.00 22.35 150.78 5.73 0.00
C14 c 2.87 25.80 10.00 72.23 223.59 5.73 0.00
C15 c 1.15 22.93 20.00 425.39 501.07 5.73 0.00
C16 c 0.00 22.93 20.00 53.89 221.30 5.73 0.00
C17 c 0.00 25.80 20.00 90.58 180.02 5.73 0.00
C18 c 25.23 2.87 20.00 412.77 518.27 5.73 0.00
C19 c 24.08 5.73 40.00 23.50 173.14 5.73 0.00
C20 c 24.08 8.60 10.00 124.98 182.32 5.73 0.00
C21 c 22.93 2.87 10.00 240.78 426.54 5.73 0.00
C22 c 22.93 8.60 40.00 325.63 455.21 5.73 0.00
C23 c 21.79 2.87 30.00 57.33 319.91 5.73 0.00
C24 c 21.79 8.60 10.00 73.95 179.45 5.73 0.00
C25 c 20.07 2.87 20.00 26.37 137.60 5.73 0.00
C26 c 54.46 17.20 30.00 385.83 510.82 5.73 0.00
C27 c 54.46 20.07 20.00 251.68 511.39 5.73 0.00
C28 c 52.74 17.20 10.00 38.41 205.82 5.73 0.00
C29 c 51.60 20.07 10.00 267.16 376.09 5.73 0.00
C30 c 50.45 17.20 10.00 223.01 322.78 5.73 0.00
C31 c 50.45 20.07 20.00 161.09 515.41 5.73 0.00
C32 c 49.88 17.20 10.00 45.29 171.42 5.73 0.00
C33 c 48.73 14.33 10.00 297.54 514.83 5.73 0.00
C34 c 48.73 20.07 30.00 27.51 174.86 5.73 0.00
C35 c 38.41 48.73 20.00 281.49 518.85 5.73 0.00
